MaxIntensity,Distance,R,G,B
6.5,2.8,255,63.871245694799974,0
6.3,6.6,255,0,112.90633735167765
6.3,4.2,255,63.871245694799974,0
6.0,13.8,255,63.871245694799974,0
5.5,15.7,180.75144336464064,0,255
5.9,21.0,255,221.52532544438083,0
5.5,23.0,255,63.871245694799974,0
5.5,23.2,255,63.871245694799974,0
5.9,7.8,255,63.871245694799974,0
5.5,10.9,255,63.871245694799974,0
5.7,13.5,255,63.871245694799974,0
5.5,19.6,255,63.871245694799974,0
5.7,18.5,255,63.871245694799974,0
5.9,30.7,255,63.871245694799974,0
5.3,41.5,255,63.871245694799974,0
5.0,32.4,255,63.871245694799974,0
5.3,26.6,79.43653320950543,0,255
5.4,28.1,255,63.871245694799974,0
5.3,27.7,255,63.871245694799974,0
5.2,32.1,255,63.871245694799974,0
5.2,11.3,255,63.871245694799974,0
5.2,28.5,255,63.871245694799974,0
5.2,25.6,108.80894004466941,255,0
5.2,15.8,255,63.871245694799974,0
5.1,36.4,255,216.34777657362534,0
4.7,40.4,0,219.18335514446142,255
4.5,76.5,0,165.93669915179433,255
4.5,79.8,255,63.871245694799974,0
4.5,67.5,0,255,27.93512017271752
4.6,108.9,94.1241288166523,255,0
4.7,92.0,255,63.871245694799974,0
4.7,155.0,0,255,14.136571660324641
4.5,58.6,255,70.36598444736397,0
4.5,57.9,255,50.525311087473035,0
4.5,41.4,255,63.871245694799974,0
4.5,48.9,255,63.871245694799974,0
4.5,41.9,255,63.871245694799974,0
4.5,48.8,255,63.871245694799974,0
4.7,41.4,255,63.871245694799974,0
4.6,49.7,255,63.871245694799974,0
4.9,39.3,70.58460177410139,0,255
4.6,44.1,27.633650948701536,0,255
4.9,32.9,255,63.871245694799974,0
4.7,29.5,255,0,250.9030798240094
4.6,14.9,255,63.871245694799974,0
4.7,14.1,255,63.871245694799974,0
4.7,21.4,255,63.871245694799974,0
4.9,25.0,255,63.871245694799974,0
4.7,40.7,95.91886970488805,0,255
4.8,44.0,137.64220341647442,0,255
4.7,36.9,255,63.871245694799974,0
4.5,43.4,255,63.871245694799974,0
4.5,51.8,255,63.871245694799974,0
4.6,49.4,255,63.871245694799974,0
4.7,47.8,255,63.871245694799974,0
