観測点名,都道府県,震度,Latitude,Longitude
栗原市築館（旧）,宮城県,7,38.73333333333333,141.01666666666668
涌谷町新町裏,宮城県,D,38.53333333333333,141.13333333333333
栗原市若柳（旧）,宮城県,D,38.766666666666666,141.11666666666667
栗原市高清水（旧）,宮城県,D,38.65,141.01666666666668
栗原市一迫（旧３）,宮城県,D,38.73333333333333,140.95
登米市米山町,宮城県,D,38.63333333333333,141.18333333333334
登米市南方町,宮城県,D,38.66666666666666,141.16666666666666
宮城美里町木間塚,宮城県,D,38.48333333333333,141.13333333333333
大崎市古川三日町,宮城県,D,38.56666666666667,140.95
大崎市古川北町,宮城県,D,38.583333333333336,140.96666666666667
大崎市鹿島台,宮城県,D,38.48333333333333,141.1
大崎市田尻（旧）,宮城県,D,38.6,141.05
名取市増田,宮城県,D,38.16666666666666,140.88333333333333
蔵王町円田,宮城県,D,38.1,140.66666666666666
宮城川崎町前川,宮城県,D,38.18333333333333,140.65
山元町浅生原（旧）,宮城県,D,37.96666666666667,140.88333333333333
仙台宮城野区苦竹,宮城県,D,38.266666666666666,140.93333333333334
石巻市桃生町,宮城県,D,38.56666666666667,141.25
塩竈市旭町,宮城県,D,38.333333333333336,141.01666666666668
東松島市矢本（旧）,宮城県,D,38.43333333333333,141.21666666666667
大衡村大衡,宮城県,D,38.46666666666667,140.88333333333333
気仙沼市赤岩,宮城県,C,38.88333333333333,141.56666666666666
気仙沼市唐桑町,宮城県,C,38.9,141.65
栗原市栗駒,宮城県,C,38.833333333333336,141.0
栗原市瀬峰（旧）,宮城県,C,38.65,141.06666666666666
栗原市金成（旧）,宮城県,C,38.8,141.06666666666666
登米市中田町,宮城県,C,38.71666666666667,141.23333333333332
登米市東和町,宮城県,C,38.73333333333333,141.31666666666666
登米市豊里町,宮城県,C,38.583333333333336,141.25
登米市登米町,宮城県,C,38.65,141.28333333333333
登米市迫町,宮城県,C,38.68333333333333,141.18333333333334
南三陸町志津川（旧）,宮城県,C,38.68333333333333,141.45
南三陸町歌津（旧）,宮城県,C,38.73333333333333,141.51666666666668
宮城美里町北浦,宮城県,C,38.55,141.05
大崎市松山,宮城県,C,38.516666666666666,141.06666666666666
白石市亘理町,宮城県,C,38.0,140.61666666666667
仙台空港,宮城県,C,38.13333333333333,140.93333333333334
角田市角田,宮城県,C,37.98333333333333,140.78333333333333
岩沼市桜,宮城県,C,38.1,140.86666666666667
大河原町新南,宮城県,C,38.05,140.73333333333332
亘理町下小路,宮城県,C,38.03333333333333,140.85
仙台青葉区大倉,宮城県,C,38.36666666666667,140.66666666666666
仙台青葉区作並,宮城県,C,38.31666666666667,140.63333333333333
仙台青葉区雨宮,宮城県,C,38.28333333333333,140.86666666666667
仙台青葉区落合,宮城県,C,38.266666666666666,140.78333333333333
仙台宮城野区五輪,宮城県,C,38.266666666666666,140.9
仙台若林区遠見塚,宮城県,C,38.25,140.91666666666666
仙台泉区将監,宮城県,C,38.333333333333336,140.88333333333333
石巻市泉町,宮城県,C,38.43333333333333,141.3
石巻市門脇,宮城県,C,38.43333333333333,141.28333333333333
石巻市北上町（旧）,宮城県,C,38.583333333333336,141.45
石巻市鮎川浜,宮城県,C,38.3,141.5
石巻市相野谷,宮城県,C,38.516666666666666,141.31666666666666
石巻市前谷地,宮城県,C,38.516666666666666,141.2
東松島市小野,宮城県,C,38.4,141.16666666666666
松島町高城,宮城県,C,38.38333333333333,141.06666666666666
利府町利府,宮城県,C,38.333333333333336,140.98333333333332
大和町吉岡,宮城県,C,38.45,140.88333333333333
大郷町粕川,宮城県,C,38.41666666666666,141.0
富谷市富谷,宮城県,C,38.4,140.9
気仙沼市笹が陣,宮城県,B,38.9,141.56666666666666
気仙沼市本吉町津谷,宮城県,B,38.8,141.5
宮城加美町中新田,宮城県,B,38.56666666666667,140.85
宮城加美町小野田,宮城県,B,38.583333333333336,140.78333333333333
色麻町四竈,宮城県,B,38.55,140.85
栗原市鶯沢,宮城県,B,38.81666666666667,140.95
栗原市花山,宮城県,B,38.8,140.85
登米市石越町,宮城県,B,38.75,141.18333333333334
登米市津山町,宮城県,B,38.61666666666667,141.3
大崎市鳴子（旧）,宮城県,B,38.8,140.65
大崎市三本木,宮城県,B,38.516666666666666,140.93333333333334
大崎市岩出山,宮城県,B,38.65,140.88333333333333
七ヶ宿町関,宮城県,B,38.0,140.45
村田町村田,宮城県,B,38.11666666666667,140.71666666666667
柴田町船岡,宮城県,B,38.05,140.76666666666668
丸森町上滝,宮城県,B,37.86666666666667,140.78333333333333
丸森町鳥屋,宮城県,B,37.91666666666666,140.76666666666668
仙台太白区山田,宮城県,B,38.21666666666667,140.83333333333334
石巻市大瓜,宮城県,B,38.45,141.35
多賀城市中央,宮城県,B,38.3,141.0
七ヶ浜町東宮浜,宮城県,B,38.3,141.06666666666666
宮城加美町宮崎,宮城県,A,38.61666666666667,140.76666666666668
白河市新白河,福島県,D,37.11666666666667,140.18333333333334
須賀川市八幡町（旧２）,福島県,D,37.28333333333333,140.36666666666667
国見町藤田（旧２）,福島県,D,37.88333333333333,140.55
鏡石町不時沼,福島県,D,37.25,140.35
天栄村下松本,福島県,D,37.25,140.25
楢葉町北田,福島県,D,37.28333333333333,141.0
富岡町本岡,福島県,D,37.35,141.01666666666668
大熊町下野上,福島県,D,37.4,140.98333333333332
双葉町新山,福島県,D,37.45,141.01666666666668
浪江町幾世橋,福島県,D,37.5,141.0
新地町谷地小屋,福島県,D,37.88333333333333,140.91666666666666
福島市五老内町,福島県,C,37.766666666666666,140.48333333333332
郡山市朝日,福島県,C,37.4,140.36666666666667
郡山市開成,福島県,C,37.4,140.36666666666667
郡山市湖南町,福島県,C,37.4,140.13333333333333
白河市表郷,福島県,C,37.05,140.3
須賀川市八幡山,福島県,C,37.28333333333333,140.36666666666667
須賀川市長沼支所,福島県,C,37.28333333333333,140.21666666666667
二本松市金色,福島県,C,37.583333333333336,140.43333333333334
二本松市油井,福島県,C,37.6,140.46666666666667
桑折町東大隅,福島県,C,37.85,140.51666666666668
川俣町五百田（旧）,福島県,C,37.66666666666666,140.6
西郷村熊倉,福島県,C,37.15,140.15
中島村滑津（旧）,福島県,C,37.15,140.35
矢吹町一本木,福島県,C,37.2,140.33333333333334
棚倉町棚倉中居野,福島県,C,37.03333333333333,140.38333333333333
玉川村小高,福島県,C,37.21666666666667,140.41666666666666
浅川町浅川,福島県,C,37.083333333333336,140.41666666666666
小野町中通,福島県,C,37.28333333333333,140.63333333333333
小野町小野新町,福島県,C,37.28333333333333,140.63333333333333
田村市大越町,福島県,C,37.38333333333333,140.63333333333333
田村市常葉町,福島県,C,37.43333333333333,140.65
田村市都路町,福島県,C,37.43333333333333,140.8
田村市滝根町,福島県,C,37.31666666666667,140.65
福島伊達市前川原,福島県,C,37.81666666666667,140.51666666666668
福島伊達市梁川町,福島県,C,37.85,140.6
本宮市白岩,福島県,C,37.5,140.45
いわき市小名浜,福島県,C,36.95,140.9
いわき市三和町,福島県,C,37.1,140.8
いわき市錦町,福島県,C,36.9,140.8
相馬市中村（旧２）,福島県,C,37.8,140.91666666666666
福島広野町下北迫大谷地原,福島県,C,37.23333333333333,141.0
川内村上川内小山平,福島県,C,37.333333333333336,140.81666666666666
川内村上川内早渡,福島県,C,37.333333333333336,140.81666666666666
大熊町野上,福島県,C,37.4,140.96666666666667
飯舘村伊丹沢,福島県,C,37.68333333333333,140.73333333333332
南相馬市原町区高見町,福島県,C,37.63333333333333,140.98333333333332
南相馬市鹿島区西町,福島県,C,37.7,140.96666666666667
猪苗代町千代田,福島県,C,37.55,140.1
福島市松木町,福島県,B,37.766666666666666,140.46666666666667
福島市桜木町,福島県,B,37.766666666666666,140.48333333333332
白河市郭内,福島県,B,37.13333333333333,140.21666666666667
白河市八幡小路（旧）,福島県,B,37.13333333333333,140.21666666666667
白河市東,福島県,B,37.1,140.35
白河市大信（旧）,福島県,B,37.2,140.25
大玉村曲藤,福島県,B,37.516666666666666,140.33333333333334
大玉村玉井（旧）,福島県,B,37.53333333333333,140.36666666666667
泉崎村泉崎（旧）,福島県,B,37.15,140.3
矢祭町東舘下上野内,福島県,B,36.86666666666667,140.43333333333334
矢祭町東舘,福島県,B,36.86666666666667,140.41666666666666
石川町下泉,福島県,B,37.15,140.45
平田村永田（旧）,福島県,B,37.21666666666667,140.56666666666666
古殿町松川新桑原,福島県,B,37.083333333333336,140.55
三春町大町（旧）,福島県,B,37.43333333333333,140.5
田村市船引町（旧）,福島県,B,37.43333333333333,140.56666666666666
福島伊達市保原町,福島県,B,37.81666666666667,140.56666666666666
福島伊達市霊山町,福島県,B,37.78333333333333,140.6
福島伊達市月舘町,福島県,B,37.73333333333333,140.6
本宮市本宮,福島県,B,37.516666666666666,140.4
いわき市平四ツ波,福島県,B,37.1,140.9
福島広野町下北迫苗代替,福島県,B,37.21666666666667,141.0
川内村下川内,福島県,B,37.36666666666667,140.86666666666667
葛尾村落合落合,福島県,B,37.5,140.76666666666668
南相馬市原町区三島町,福島県,B,37.63333333333333,140.95
南相馬市原町区本町,福島県,B,37.65,140.95
会津若松市東栄町,福島県,B,37.5,139.93333333333334
喜多方市塩川町（旧）,福島県,B,37.6,139.88333333333333
磐梯町磐梯（旧）,福島県,B,37.56666666666667,139.98333333333332
猪苗代町城南,福島県,B,37.56666666666667,140.1
会津坂下町市中三番甲,福島県,B,37.56666666666667,139.81666666666666
湯川村笈川,福島県,B,37.56666666666667,139.88333333333333
