観測点名,都道府県,震度,Latitude,Longitude
益城町宮園,熊本県,7,32.78333333333333,130.81666666666666
玉名市天水町（旧２）,熊本県,C,32.86666666666667,130.6
西原村小森,熊本県,C,32.833333333333336,130.9
嘉島町上島,熊本県,C,32.733333333333334,130.75
宇城市松橋町,熊本県,C,32.65,130.68333333333334
宇城市不知火町,熊本県,C,32.65,130.66666666666666
宇城市小川町（旧２）,熊本県,C,32.6,130.7
宇城市豊野町,熊本県,C,32.63333333333333,130.75
熊本東区佐土原,熊本県,C,32.8,130.78333333333333
熊本西区春日,熊本県,C,32.78333333333333,130.68333333333334
熊本南区城南町（旧）,熊本県,C,32.71666666666667,130.73333333333332
熊本南区富合町,熊本県,C,32.71666666666667,130.68333333333334
玉名市横島町,熊本県,B,32.88333333333333,130.55
菊池市旭志（旧２）,熊本県,B,32.95,130.85
宇土市浦田町（旧）,熊本県,B,32.68333333333333,130.66666666666666
大津町大津（旧）,熊本県,B,32.88333333333333,130.86666666666667
菊陽町久保田,熊本県,B,32.86666666666667,130.83333333333334
御船町御船,熊本県,B,32.71666666666667,130.8
熊本美里町永富,熊本県,B,32.61666666666667,130.86666666666667
熊本美里町馬場,熊本県,B,32.63333333333333,130.78333333333333
山都町下馬尾,熊本県,B,32.68333333333333,130.98333333333332
氷川町島地,熊本県,B,32.583333333333336,130.66666666666666
合志市竹迫,熊本県,B,32.88333333333333,130.78333333333333
熊本中央区大江,熊本県,B,32.8,130.71666666666667
熊本北区植木町,熊本県,B,32.9,130.7
熊本高森町高森,熊本県,A,32.833333333333336,131.11666666666667
阿蘇市内牧,熊本県,A,32.96666666666667,131.05
南阿蘇村吉田,熊本県,A,32.833333333333336,131.08333333333334
南阿蘇村河陽（旧）,熊本県,A,32.86666666666667,131.0
八代市平山新町,熊本県,A,32.483333333333334,130.6
八代市松江城町,熊本県,A,32.5,130.6
八代市千丁町,熊本県,A,32.53333333333333,130.63333333333333
八代市鏡町,熊本県,A,32.56666666666667,130.65
菊池市泗水町,熊本県,A,32.916666666666664,130.78333333333333
長洲町長洲,熊本県,A,32.93333333333333,130.45
大津町引水,熊本県,A,32.88333333333333,130.88333333333333
甲佐町豊内,熊本県,A,32.65,130.81666666666666
氷川町宮原,熊本県,A,32.55,130.68333333333334
合志市御代志,熊本県,A,32.88333333333333,130.75
和水町江田,熊本県,A,32.983333333333334,130.6
上天草市大矢野町,熊本県,A,32.583333333333336,130.43333333333334
上天草市松島町,熊本県,A,32.516666666666666,130.43333333333334
天草市五和町,熊本県,A,32.516666666666666,130.18333333333334
産山村山鹿,熊本県,4,33.0,131.21666666666667
阿蘇市一の宮町,熊本県,4,32.93333333333333,131.11666666666667
阿蘇市波野（旧）,熊本県,4,32.93333333333333,131.23333333333332
南阿蘇村中松,熊本県,4,32.88333333333333,131.06666666666666
南阿蘇村河陰,熊本県,4,32.81666666666667,131.03333333333333
八代市泉町,熊本県,4,32.55,130.81666666666666
八代市東陽町,熊本県,4,32.55,130.71666666666667
八代市泉支所,熊本県,4,32.55,130.81666666666666
八代市坂本町（旧２）,熊本県,4,32.43333333333333,130.65
荒尾市宮内出目,熊本県,4,32.983333333333334,130.43333333333334
玉名市中尾,熊本県,4,32.93333333333333,130.55
玉名市岱明町,熊本県,4,32.916666666666664,130.51666666666668
