MaxIntensity,Distance,R,G,B
6.6,5.2,0,142.09853249741855,255
5.5,24.0,255,0,160.9686805171634
5.7,13.4,0,131.51793257892308,255
5.7,4.6,255,0.0,0
5.7,16.9,255,213.326322857861,0
5.5,19.5,205.84853249743588,255,0
5.5,12.9,255,0.0,0
5.6,8.3,205.8485324974809,255,0
5.5,12.4,255,112.9014675025815,0
5.1,27.7,255,0,143.18278698541994
5.0,22.8,14.598532497425404,0,255
5.4,15.2,255,164.30418507987525,0
5.2,16.0,0,47.540181954274246,255
5.0,13.2,0,23.535130615903753,255
5.2,3.4,0,255,111.81721301461783
5.2,11.9,59.73206742108184,255,0
5.2,22.0,240.40146750259396,255,0
5.3,15.7,67.84596526131556,0,255
5.3,10.3,255,0,239.31721301458595
5.3,20.5,205.84853249743588,0,255
4.5,33.5,0,102.68997494432061,255
4.5,27.3,0,195.34596526131247,255
4.8,22.2,0,167.6368078167731,255
4.8,28.5,247.77821200553282,255,0
4.9,25.1,249.09445358034822,255,0
4.5,19.9,79.43278698541613,0,255
4.5,38.9,255,0,133.5756538630576
4.8,10.5,0,255,15.682786985406114
4.7,24.0,205.8485324974134,255,0
4.5,17.0,255,0,0.0
4.8,32.0,255,0,243.37528834353887
4.6,43.1,255,154.63349521730447,0
4.7,63.5,255,95.1155739708291,0
4.9,45.2,0,255,104.92734288156133
5.7,15.8,255,239.31721301459388,0
5.9,12.0,255,0,112.9014675025815
4.5,35.3,252.27045255686727,255,0
4.7,39.3,255,117.97379755450474,0
