MaxIntensity,Distance,R,G,B
6.3,168.1,255,0,89.40942185804299
6.1,172.3,255,0,70.97178799447329
6.0,180.7,255,0,78.34853249741828
6.2,156.7,255,0,75.41485440649214
6.0,160.5,255,0,79.07110326365907
6.1,156.2,255,0,53.497696872007104
6.0,159.1,255,0,52.51027942660492
6.2,166.3,255,0,65.97747173620618
6.1,172.3,255,0,8.251317161385538
6.0,192.4,255,0,0.0
6.2,193.8,255,0,9.219344756345622
6.0,174.2,255,16.48372913710261,0
6.3,149.5,255,0,69.10587001032624
6.1,148.2,255,0,49.02213777798947
6.0,177.2,255,0,44.88429543758469
6.0,236.9,255,77.3666545006134,0
6.3,203.9,255,22.871574971560975,0
6.0,240.7,255,79.80664119539365,0
6.2,248.5,255,76.94099289665346,0
6.0,187.9,255,101.22926462386916,0
6.0,183.3,255,94.55835054315342,0
6.3,182.3,255,87.36319218322973,0
6.1,177.9,255,82.96735367266143,0
6.1,171.7,255,27.17619050221746,0
6.0,249.2,255,141.00867455242002,0
6.0,244.9,255,140.08377350690566,0
6.0,299.1,255,146.45846915333067,0
6.2,278.4,255,143.18278698541394,0
6.1,310.9,255,159.51057181919333,0
6.1,282.0,255,106.3217972819249,0
6.0,305.7,255,113.45741873507696,0
6.0,319.3,255,130.76630215851924,0
6.1,299.3,255,124.98055350811828,0
6.1,302.2,255,115.15609809844496,0
5.6,237.7,255,63.469132643177076,0
5.7,223.3,255,0,176.05057890626205
5.6,166.5,255,0,100.9353515946843
5.8,160.8,255,0,120.27821200552762
5.5,153.6,255,0,130.74155802051428
5.6,155.7,255,63.469132643177076,0
5.5,183.6,255,63.469132643177076,0
5.5,187.0,255,63.469132643177076,0
5.5,137.6,255,0,143.1827869854147
5.8,167.3,255,0,72.84648454522004
5.9,174.1,255,0,91.0824609239906
5.7,150.9,255,0,82.21339940651464
5.9,159.5,255,0,81.9826964315519
5.8,164.4,255,0,59.654034738687564
5.9,163.3,255,0,55.8915318940148
5.6,186.3,255,5.75106580356413,0
5.5,175.7,255,8.113897840235019,0
5.5,174.8,255,0,22.445272670891452
5.5,181.7,255,0,19.59525960430726
5.8,170.6,255,0,18.855016564043478
5.8,174.1,255,0,28.756242995850513
5.5,142.0,255,0,64.61023701399829
5.9,151.9,255,0,60.23243522556022
5.7,151.4,255,0,42.94640455141085
5.6,166.3,255,0,30.281319482832536
5.6,165.6,255,0,41.28131685599584
5.5,174.4,255,63.469132643177076,0
5.5,212.4,255,34.07264556303522,0
5.7,253.5,255,95.1155739708291,0
5.5,249.9,255,73.22772403424452,0
5.5,220.8,255,51.28801807427668,0
5.8,217.5,255,50.355131513261576,0
5.7,207.2,255,25.990890156713075,0
5.5,204.3,255,46.330387525378114,0
5.5,261.1,255,82.38419163727133,0
5.8,245.1,255,88.42886180402299,0
5.6,243.5,255,83.6308944651199,0
5.5,237.4,255,84.79426045274356,0
5.6,243.7,255,96.37118537404059,0
5.6,216.4,255,85.95565258246458,0
5.9,211.6,255,76.14490882643324,0
5.7,208.3,255,71.64819476288842,0
5.6,196.0,255,76.56244915237342,0
5.7,212.3,255,83.29494812949065,0
5.5,208.4,255,29.424657887944747,0
5.6,199.9,255,26.945814920117037,0
5.5,221.4,255,59.654034738687564,0
5.7,173.4,255,37.48661309608982,0
5.8,199.4,255,87.80036776905672,0
5.5,192.2,255,47.32931508252263,0
5.7,171.9,255,63.469132643177076,0
5.8,286.5,255,153.11633688669065,0
5.8,294.4,255,148.38672572516018,0
5.6,257.2,255,145.71922715313872,0
5.9,273.0,255,140.41128155991908,0
5.7,235.8,255,134.97779036045495,0
5.9,300.6,255,141.38439233524778,0
5.5,303.1,255,149.67477011481998,0
5.8,280.0,255,154.1547402422756,0
5.7,295.6,255,156.16247296032896,0
5.7,272.2,255,151.20318239247592,0
5.7,282.9,255,132.53614229963804,0
5.8,272.5,255,131.35221452898176,0
5.6,278.6,255,148.25511703733727,0
5.9,284.5,255,141.27446349136113,0
5.9,282.4,255,138.21394484180823,0
5.5,307.6,255,160.060923070997,0
5.6,303.9,255,156.1767515496717,0
5.8,326.9,255,159.37018884204312,0
5.6,311.9,255,156.19028723964874,0
5.7,347.8,255,161.97490232277292,0
5.9,333.9,255,63.469132643177076,0
5.6,315.3,255,183.04500337504103,0
5.7,325.7,255,167.75795435546206,0
5.5,344.0,255,143.49821046564387,0
5.8,328.2,255,169.64256050922432,0
5.5,322.6,255,178.8188437160854,0
5.7,318.7,255,136.41104046753415,0
5.5,318.2,255,155.95087612638676,0
5.5,315.5,255,177.68558670964393,0
5.8,305.1,255,174.41867472055202,0
5.6,310.6,255,167.5239255347428,0
5.5,311.1,255,137.61788025291972,0
5.5,318.4,255,143.18278698541428,0
5.5,293.0,255,165.1563498003237,0
5.9,301.2,255,175.16596038467645,0
5.5,337.7,255,147.3807686838831,0
5.5,345.3,255,156.2380512822741,0
5.6,285.9,255,99.97363833695407,0
5.8,269.8,255,91.88702320069987,0
5.5,287.8,255,97.73840159861888,0
5.6,312.5,255,129.47856590770553,0
5.9,302.1,255,123.72953386325352,0
5.6,292.5,255,116.99855545794094,0
5.5,281.8,255,114.70965503192318,0
5.8,283.5,255,111.10218697595812,0
5.5,362.0,255,142.88363840994865,0
5.5,349.3,255,170.05808147224957,0
5.5,347.2,255,173.18471805773206,0
5.2,283.3,255,63.469132643177076,0
5.2,322.3,255,0,249.5487218530317
5.4,281.7,245.18891080184974,0,255
5.2,304.3,255,0,254.5166341083255
5.0,192.6,255,0,234.4959210829338
5.3,227.2,242.10428633969843,0,255
5.1,160.2,255,0,168.5420130260567
5.3,242.6,255,63.469132643177076,0
5.2,257.1,255,0,195.71751818556115
5.2,208.0,255,0,155.19163092637646
5.3,200.6,255,0,163.3829773828048
5.0,189.5,255,0,169.173677142127
5.1,171.0,255,0,124.77045255686318
5.1,164.5,255,0,113.92460040164994
5.2,193.7,255,0,137.69932073915797
5.3,180.5,255,0,114.76738548672924
5.4,189.6,255,63.469132643177076,0
5.0,140.4,255,63.469132643177076,0
5.4,182.1,255,0,55.81959480218454
5.3,188.6,255,0,55.943738081222996
5.4,181.9,255,0,53.89162984023373
5.4,183.6,255,0,87.8310245815513
5.2,191.0,255,0,81.98269643155156
5.3,163.4,255,0,90.54958037577248
5.3,146.9,255,0,78.34853249741917
