観測点名,都道府県,震度,Latitude,Longitude
厚真町鹿沼,北海道,7,42.61666666666667,141.91666666666666
厚真町京町,北海道,D,42.71666666666667,141.88333333333333
安平町早来北進,北海道,D,42.766666666666666,141.81666666666666
安平町追分柏が丘,北海道,D,42.86666666666667,141.81666666666666
むかわ町松風,北海道,D,42.56666666666667,141.93333333333334
むかわ町穂別,北海道,D,42.766666666666666,142.13333333333333
札幌東区元町,北海道,C,43.1,141.36666666666667
新千歳空港,北海道,C,42.78333333333333,141.68333333333334
日高地方日高町門別,北海道,C,42.48333333333333,142.05
平取町振内,北海道,C,42.73333333333333,142.3
札幌北区太平,北海道,B,43.13333333333333,141.35
札幌北区篠路,北海道,B,43.15,141.35
札幌北区新琴似,北海道,B,43.11666666666667,141.33333333333334
札幌白石区北郷（旧）,北海道,B,43.05,141.41666666666666
札幌手稲区前田,北海道,B,43.11666666666667,141.26666666666668
江別市緑町,北海道,B,43.11666666666667,141.55
札幌清田区平岡,北海道,B,43.0,141.45
千歳市北栄,北海道,B,42.833333333333336,141.63333333333333
千歳市若草,北海道,B,42.78333333333333,141.6
千歳市支笏湖温泉,北海道,B,42.78333333333333,141.4
恵庭市京町,北海道,B,42.88333333333333,141.58333333333334
三笠市幸町,北海道,B,43.25,141.88333333333333
長沼町中央,北海道,B,43.016666666666666,141.7
苫小牧市旭町,北海道,B,42.63333333333333,141.6
平取町本町,北海道,B,42.583333333333336,142.13333333333333
新冠町北星町,北海道,B,42.36666666666667,142.31666666666666
新ひだか町静内山手町,北海道,B,42.35,142.36666666666667
新ひだか町静内御幸町,北海道,B,42.333333333333336,142.36666666666667
石狩市花川,北海道,A,43.16666666666666,141.31666666666666
石狩市聚富,北海道,A,43.28333333333333,141.41666666666666
石狩市花畔,北海道,A,43.16666666666666,141.3
新篠津村第４７線,北海道,A,43.23333333333333,141.65
札幌豊平区月寒東,北海道,A,43.03333333333333,141.4
札幌西区琴似,北海道,A,43.06666666666667,141.3
札幌厚別区もみじ台,北海道,A,43.03333333333333,141.5
江別市高砂町,北海道,A,43.1,141.53333333333333
恵庭市漁平,北海道,A,42.85,141.45
北広島市共栄,北海道,A,43.0,141.55
函館市新浜町,北海道,A,41.833333333333336,141.13333333333333
岩見沢市栗沢町東本町,北海道,A,43.11666666666667,141.75
南幌町栄町,北海道,A,43.06666666666667,141.65
由仁町新光,北海道,A,43.0,141.78333333333333
栗山町松風,北海道,A,43.05,141.78333333333333
胆振伊達市大滝区本町,北海道,A,42.66666666666666,141.08333333333334
室蘭市寿町,北海道,A,42.35,141.03333333333333
苫小牧市末広町,北海道,A,42.63333333333333,141.61666666666667
登別市桜木町,北海道,A,42.41666666666666,141.08333333333334
白老町大町,北海道,A,42.55,141.35
白老町緑丘,北海道,A,42.56666666666667,141.35
石狩市厚田,北海道,4,43.4,141.43333333333334
